iter	Passed	Remaining
664	235645	118708
665	235946	118327
666	236319	117982
667	236548	117566
668	236796	117159
669	237109	116785
670	237334	116368
671	237563	115953
672	237869	115577
673	238160	115193
674	238483	114825
675	238709	114411
676	239001	114028
677	239299	113649
678	239627	113285
679	239833	112862
680	240114	112476
681	240404	112094
682	240642	111688
683	240914	111299
684	241183	110909
685	241479	110531
686	241700	110119
687	241997	109742
688	242258	109350
689	242500	108949
690	242754	108554
691	243022	108166
692	243308	107786
693	243540	107382
694	243801	106992
695	244099	106618
696	244319	106210
697	244584	105822
698	244773	105403
699	245029	105012
700	245298	104627
701	245565	104243
702	246082	103963
703	246461	103625
704	246834	103285
705	247299	102983
706	247675	102643
707	248021	102291
708	248435	101967
709	248833	101636
710	249194	101289
711	249486	100915
712	249985	100625
713	250260	100244
714	250542	99866
715	250895	99517
716	251132	99121
717	251513	98783
718	251867	98435
719	252175	98068
720	252479	97699
721	252730	97311
722	253013	96936
723	253247	96541
724	253495	96153
725	253785	95781
726	254148	95436
727	254413	95055
728	254641	94661
729	254939	94292
730	255186	93905
731	255381	93500
732	255686	93135
733	256077	92801
734	256383	92437
735	256631	92052
736	256869	91664
737	257168	91298
738	257399	90908
739	257630	90518
740	257969	90167
741	258224	89786
742	258466	89402
743	258669	89004
744	258897	88616
745	259186	88248
746	259415	87860
747	259715	87497
748	260085	87158
749	260404	86801
750	260712	86441
751	261046	86089
752	261312	85715
753	261569	85339
754	261848	84970
755	262137	84605
756	262453	84248
757	262678	83862
758	262882	83471
759	263159	83103
760	263392	82721
761	263649	82347
762	263914	81976
763	264413	81677
764	264699	81312
765	264996	80951
766	265316	80598
767	265613	80237
768	265902	79874
769	266188	79510
770	266436	79136
771	266740	78778
772	266976	78400
773	267240	78031
774	267472	77653
775	267718	77279
776	267935	76897
777	268223	76536
778	268565	76191
779	268885	75839
780	269166	75476
781	269425	75108
782	269736	74754
783	270051	74401
784	270305	74032
785	270565	73665
786	270875	73311
787	271181	72957
788	271436	72589
789	271719	72229
790	272034	71877
791	272326	71520
792	272544	71143
793	272893	70801
794	273131	70430
795	273412	70070
796	273687	69709
797	273971	69351
798	274230	68986
799	274455	68613
800	274782	68266
801	275082	67913
802	275341	67549
803	275615	67189
804	275903	66833
805	276215	66483
806	276482	66122
807	276723	65756
808	277035	65406
809	277312	65048
810	277529	64676
811	277774	64312
812	278016	63947
813	278342	63601
814	278581	63236
815	278871	62882
816	279146	62525
817	279487	62184
818	279716	61817
819	279986	61460
820	280234	61098
821	280560	60754
822	280841	60399
823	281113	60043
824	281351	59680
825	281626	59325
826	281926	58976
827	282157	58612
828	282389	58249
829	282679	57898
830	282943	57542
831	283163	57177
832	283485	56833
833	283727	56473
834	283938	56107
835	284189	55750
836	284407	55386
837	284655	55028
838	284896	54670
839	285187	54321
840	285413	53960
841	285611	53594
842	285894	53244
843	286186	52896
844	286409	52536
845	286627	52175
846	286903	51825
847	287197	51478
848	287458	51126
849	287704	50771
850	287948	50416
851	288212	50065
852	288458	49710
853	288694	49355
854	288932	49000
855	289149	48641
856	289428	48294
857	289683	47942
858	289933	47590
859	290201	47242
860	290432	46887
861	290713	46541
862	291099	46211
863	291387	45866
864	291615	45512
865	291893	45165
866	292229	44828
867	292430	44471
868	292711	44125
869	293084	43794
870	293321	43442
871	293626	43101
872	294066	42779
873	294383	42439
874	294803	42114
875	295048	41764
876	295404	41430
877	295662	41082
878	296003	40746
879	296292	40403
880	296524	40052
881	296777	39704
882	297040	39358
883	297275	39008
884	297541	38663
885	297775	38314
886	298035	37968
887	298268	37619
888	298582	37280
889	298809	36931
890	299060	36585
891	299325	36241
892	299647	35904
893	299997	35570
894	300245	35224
895	300510	34880
896	300840	34544
897	301094	34200
898	301411	33862
899	301689	33521
900	301965	33179
901	302215	32834
902	302517	32496
903	302769	32152
904	303040	31810
905	303330	31471
906	303595	31129
907	303889	30790
908	304180	30451
909	304477	30113
910	304858	29783
911	305144	29443
912	305423	29103
913	305761	28769
914	305948	28421
915	306176	28077
916	306393	27732
917	306563	27383
918	306809	27041
919	307002	26695
920	307313	26360
921	307531	26016
922	307663	25666
923	307871	25322
924	308211	24990
925	308467	24650
926	308662	24306
927	308842	23961
928	309041	23618
929	309283	23279
930	309503	22938
931	309694	22595
932	309923	22256
933	310143	21915
934	310321	21573
935	310554	21234
936	310812	20897
937	311059	20560
938	311214	20217
939	311418	19877
940	311625	19538
941	311836	19200
942	312063	18862
943	312261	18523
944	312469	18186
945	312734	17851
946	312897	17511
947	313102	17174
948	313327	16838
949	313484	16499
950	313769	16166
951	313997	15831
952	314184	15494
953	314430	15161
954	314637	14825
955	314886	14492
956	315163	14160
957	315363	13825
958	315583	13492
959	315879	13161
960	316105	12828
961	316352	12496
962	316639	12165
963	316907	11834
964	317201	11504
965	317459	11173
966	317659	10840
967	317859	10507
968	318029	10174
969	318206	9841
970	318456	9511
971	318669	9179
972	318853	8847
973	319018	8515
974	319197	8184
975	319384	7853
976	319557	7522
977	319747	7192
978	319976	6863
979	320192	6534
980	320500	6207
981	320711	5878
982	320920	5549
983	321108	5221
984	321296	4892
985	321459	4564
986	321681	4236
987	321880	3909
988	322112	3582
989	322297	3255
990	322543	2929
991	322777	2603
992	323018	2277
993	323304	1951
994	323469	1625
995	323627	1299
996	323818	974
997	323998	649
998	324208	324
999	324389	0
312	0
0
