iter	RMSE
448	3.449552801
449	3.449241544
450	3.448932169
451	3.448541701
452	3.448292759
453	3.448076866
454	3.447793337
455	3.44736745
456	3.446918973
457	3.446417062
458	3.445816629
459	3.445748183
460	3.445492572
461	3.445319033
462	3.444899988
463	3.444512639
464	3.444094397
465	3.443781358
466	3.443402775
467	3.442921258
468	3.442664398
469	3.442161424
470	3.441717946
471	3.441392337
472	3.441053278
473	3.440580444
474	3.440276917
475	3.439732678
476	3.439212013
477	3.438755069
478	3.438347811
479	3.437979873
480	3.43769391
481	3.437368898
482	3.437156379
483	3.43648193
484	3.436161433
485	3.435666045
486	3.435301037
487	3.434984191
488	3.434739525
489	3.434470795
490	3.434059412
491	3.433729539
492	3.433330341
493	3.432808953
494	3.432388047
495	3.432083467
496	3.431735432
497	3.431566551
498	3.43134847
499	3.431061041
500	3.430560909
501	3.430090139
502	3.429551596
503	3.429151271
504	3.428701197
505	3.428463729
506	3.428262493
507	3.427960163
508508	3.4236079509	3.427154404
51510	3.4227894451511	3.4223611251512	3.421885885513	3.4215069445514	3.4211725635515	3.4210384685516	3.4207193015517	3.4204462915518	3.4202022915519	3.4198055115520	3.4195231625521	3.4192334725522	3.4189344875523	3.4186689235524	3.4184136745525	3.4179897845526	3.4175701965527	3.4173114725528	3.4168390685529	3.4163986875530	3.4159432155531	3.4156656735532	3.4153404855533	3.4150201953534	3.4147292053535	3.4144589753536	3.4141320653537	3.41378152538	3.417469676
53539	3.4129575754540	3.4125900541541	3.4123142542542	3.4119806543543	3.4117376544544	3.411343545	545	3.411059546	546	3.410797547	547	3.41040548	3548	3.4100549	3.549	3.4097550	3.550	3.4094551	3.551	3.4091552	3.552	3.4087553	3.553	3.4084554	3554	3.40809555	3555	3.40783556	3556	3.40760557	3557	3.40738558	3558	3.40713559	3559	3.40666560	3560	3.40634561	3561	3.40613562	3562	3.40556563	3563	3.4052564	3.409203576
565	3.565	3.4046566	3.408390442
567	3.408101303
568	3.4078019
569	3.407460057
570	3.407069866
571	3.40666163
572	3.406274679
573	3.40594467
574	3.40572172
575	3.405264403
576	3.404991867
577	3.404733879
578	3.40451931
579	3.404201341
580	3.403942256
581	3.403587629
582	3.403414257
583	3.402954072
584	3.402439941
585	3.402004692
586	3.401746104
587	3.40139995
588	3.40112222
589	3.400787265
590	3.400547003
591	3.400258052
592	3.399970659
593	3.399598547
594	3.39931592
595	3.399056584
596	3.398647143
597	3.39829869
598	3.397747439
599	3.39743809
600	3.397193628
601	3.396897091
602	3.396587622
603	3.396416727
604	3.396040816
605	3.395789549
606	3.39540518
607	3.395055164
608	3.394600555
609	3.394338009
610	3.394054913
611	3.393740671
612	3.393419492
613	3.393209599
614	3.393015474
615	3.39271872
616	3.392463399
617	3.392279023
618	3.392031122
619	3.391759662
620	3.391428277
621	3.391203545
622	3.390892938
623	3.390597926
624	3.390402426
625	3.390105366
626	3.389888516
627	3.38958579
628	3.389364256
629	3.388942695
630	3.388675498
631	3.38843922
632	3.388162397
633	3.388047543
634	3.387812846
635	3.387496836
636	3.387260421
637	3.386698487
638	3.3864226
639	3.386204194
640	3.385880765
641	3.385509672
642	3.385193676
643	3.38505
644	3.384865165
645	3.384635321
646	3.384422912
647	3.384202171
648	3.383961484
649	3.383677494
650	3.38345144
651	3.383195764
652	3.382859844
653	3.382715901
654	3.382481154
655	3.382167363
656	3.38197397
657	3.381666436
658	3.381343227
659	3.381142899
660	3.380824895
661	3.380582054
662	3.380365966
663	3.380053747
664	3.379670195
665	3.379422761
666	3.379161048
667	3.378857911
668	3.378610783
669	3.37833377
670	3.378132447
671	3.377980591
672	3.377675484
673	3.377440777
674	3.377122639
675	3.376892148
676	3.376715765
677	3.376509242
678	3.376343912
679	3.376157999
680	3.375846782
681	3.375615316
682	3.375337862
683	3.375133096
684	3.374790025
685	3.374614615
686	3.374438074
687	3.374150369
688	3.373999686
689	3.373723919
690	3.373471147
691	3.373196858
692	3.372962555
693	3.372627082
694	3.37244209
695	3.372163718
696	3.372024242
697	3.371880835
698	3.371715693
699	3.371452279
700	3.371288829
701	3.371033119
702	3.370899482
703	3.370705477
704	3.37040944
705	3.370170725
706	3.369898543
707	3.369593041
708	3.369275414
709	3.368939628
710	3.368642166
711	3.368322433
712	3.368021877
713	3.367857721
714	3.367686091
715	3.367343715
716	3.366850138
717	3.366664977
718	3.366500201
719	3.366218687
720	3.366044096
721	3.3659347
722	3.365701577
723	3.365469166
724	3.36533729
725	3.364994157
726	3.36473253
727	3.364486791
728	3.364296793
729	3.364174319
730	3.363967557
731	3.363740401
732	3.363406827
733	3.363213784
734	3.362824913
735	3.36258456
736	3.362351479
737	3.362202465
738	3.361997975
739	3.361926378
740	3.361535424
741	3.361431627
742	3.361148725
743	3.360974462
744	3.360655811
745	3.360358575
746	3.360240052
747	3.35999639
748	3.359758431
749	3.359616653
750	3.359321581
751	3.359127588
752	3.35890519
753	3.358619523
754	3.35844241
755	3.358207744
756	3.358029967
757	3.357944229
758	3.357616043
759	3.357342335
760	3.357168982
761	3.356945143
762	3.356796789
763	3.356552758
764	3.356310491
765	3.356085918
766	3.355929423
767	3.355756806
768	3.355576278
769	3.355402833
770	3.355127678
771	3.354958144
772	3.354612064
773	3.354345815
774	3.354208865
775	3.354018329
776	3.353862407
777	3.353571035
778	3.353364956
779	3.353164202
780	3.352937281
781	3.352725788
782	3.352587944
783	3.352401288
784	3.352191379
785	3.351925919
786	3.351566905
787	3.351344798
788	3.351225933
789	3.351033049
790	3.350837978
791	3.350659535
792	3.350479653
793	3.350296634
794	3.350149407
795	3.349963447
796	3.349815039
797	3.349674282
798	3.349510429
799	3.349374153
800	3.349117551
801	3.348936153
802	3.348727268
803	3.348555798
804	3.348356162
805	3.348081867
806	3.347880936
807	3.347633163
808	3.347330207
809	3.347064099
810	3.346883836
811	3.346507933
812	3.346338564
813	3.346129305
814	3.345997436
815	3.345858252
816	3.345623105
817	3.34543645
818	3.345298702
819	3.345186848
820	3.344985978
821	3.344788171
822	3.34458097
823	3.344338782
824	3.34416008
825	3.344062298
826	3.34388919
827	3.343660261
828	3.343391771
829	3.343122798
830	3.342928774
831	3.34271305
832	3.342385454
833	3.342171132
834	3.342021009
835	3.3418451
836	3.341700361
837	3.341504404
838	3.341359947
839	3.341173443
840	3.341077892
841	3.340983539
842	3.340828656
843	3.340643056
844	3.340503861
845	3.340364916
846	3.34022478
847	3.340070938
848	3.339842646
849	3.339620675
850	3.339376971
851	3.339136024
852	3.338998598
853	3.338755025
854	3.338245586
855	3.338132399
856	3.337868341
857	3.337689678
858	3.337587498
859	3.33743725
860	3.337364509
861	3.337140937
862	3.336888086
863	3.336719915
864	3.33650504
865	3.336312045
866	3.336097294
867	3.33591964
868	3.335809157
869	3.335693257
870	3.335556699
871	3.335392876
872	3.335085643
873	3.334844089
874	3.334784394
875	3.334359201
876	3.334203909
877	3.33402764
878	3.333851192
879	3.333716533
880	3.333439884
881	3.333246652
882	3.332795301
883	3.332636664
884	3.33248154
885	3.332361865
886	3.332142904
887	3.331970259
888	3.331726134
889	3.331520431
890	3.331146351
891	3.331021711
892	3.330725653
893	3.330518397
894	3.330264413
895	3.330124594
896	3.32993565
897	3.329713615
898	3.329460221
899	3.329277723
900	3.329158353
901	3.329028802
902	3.328856624
903	3.328651263
904	3.328421314
905	3.328285713
906	3.328106831
907	3.32793415
908	3.327763195
909	3.327525345
910	3.327414125
911	3.327245198
912	3.327121633
913	3.326951145
914	3.326732685
915	3.326556754
916	3.326353201
917	3.326242904
918	3.325948043
919	3.32577832
920	3.325622996
921	3.325368052
922	3.325219424
923	3.325089466
924	3.324863541
925	3.324764093
926	3.324616383
927	3.324471388
928	3.32436793
929	3.324237307
930	3.324052533
931	3.323922902
932	3.323788185
933	3.323636503
934	3.323452486
935	3.323297713
936	3.32307344
937	3.322975417
938	3.322784747
939	3.322652643
940	3.322473245
941	3.322229134
942	3.322118607
943	3.321958445
944	3.321713573
945	3.321540896
946	3.32129827
947	3.321114533
948	3.320941435
949	3.320754476
950	3.320581212
951	3.320403508
952	3.320288574
953	3.320152124
954	3.319884463
955	3.319676144
956	3.319554226
957	3.319430379
958	3.319214533
959	3.319048269
960	3.318933341
961	3.318720177
962	3.318521766
963	3.318251659
964	3.318033948
965	3.317901683
966	3.317758729
967	3.31763706
968	3.317492579
969	3.317331879
970	3.317231038
971	3.316914187
972	3.316735087
973	3.316624707
974	3.316548886
975	3.316422324
976	3.316276556
977	3.316035823
978	3.315899738
979	3.315666231
980	3.315534756
981	3.315283073
982	3.315179661
983	3.314944504
984	3.314866711
985	3.314682594
986	3.314514248
987	3.314311125
988	3.31406425
989	3.313943512
990	3.313648811
991	3.313525087
992	3.313434576
993	3.313182988
994	3.313032456
995	3.312794073
996	3.312611412
997	3.312268832
998	3.312108502
999	3.311877605

5
999	3.312609072
